tag,name,nameColor,icon,trophies,rank,club,country_code
#8UCGJPUCG,eskar,0xff1ba5f5,{'id': 28000078},44765,176,{'name': '🇹🇷Türkiye🐺'},GH
#2J9CUJCLV,NAZ|quorx☔️,0xffa2e3fe,{'id': 28000272},44754,177,{'name': 'The goats'},GH
#8GLCRRGV8,corvo,0xfff05637,{'id': 28000557},44697,178,{'name': 'IBÉRICOS'},GH
#LJJGCU0PL,123нуб123 в2,0xffffffff,{'id': 28000618},44674,179,{'name': 'OñeşToŴatch'},GH
#C0CL0RUR,Clashgames,0xff4ddba2,{'id': 28000552},44663,180,{'name': 'MagicYew'},GH
#PPJ2Q08VP,x•Grim rëäpër™,0xfff05637,{'id': 28000518},44626,181,{'name': 'S7 Players 🔥'},GH
#2LYL8UCV,Rhodney,0xffffffff,{'id': 28000087},44622,182,{'name': '♧Brawl Lodge♧'},GH
#8LQGLQ9JV,ゆとみ|𝔐𝔞𝔷𝔦𝔨,0xffa2e3fe,{'id': 28000488},44604,183,{'name': 'Red World'},GH
#9P0GVGUYR,TVX | Ninja_Mo,0xff1ba5f5,{'id': 28000014},44577,184,{'name': 'BS|france'},GH
#2998LVU2U,tsurugi,0xffff8afb,{'id': 28000565},44539,185,{'name': 'Society Yakan 友'},GH
#P2RRQ02PY,Borax,0xffcb5aff,{'id': 28000305},44537,186,{'name': 'ПчЁлЫ'},GH
#98LRQV28P,⛩️bs_Nudel⛩️,0xfff9c908,{'id': 28000410},44537,187,{'name': 'OG):'},GH
#9YG280PG2,Folz🤍,0xffffffff,{'id': 28000576},44474,188,{'name': 'вкусный рогалик'},GH
#GY988L08,Боец,0xff4ddba2,{'id': 28000024},44469,189,{'name': 'DAGESTAN228'},GH
#YJC2RCGP,C҈M҈|tryhard🕊️,0xffa2e3fe,{'id': 28000022},44450,190,,GH
#U28RQRJY,taus,0xffa2e3fe,{'id': 28000570},44438,191,{'name': '~AsSaSsINaTioNs'},GH
#2PLU8CU8,Andy14,0xfff05637,{'id': 28000551},44417,192,{'name': 'Pro.România🇹🇩'},GH
#PY2UGPGYG,I’m a peasant🪬,0xfff9775d,{'id': 28000196},44395,193,{'name': 'Escort'},GH
#8G29P9CYC,킹지훈,0xffa8e132,{'id': 28000399},44381,194,{'name': '슈퍼리그'},GH
#VGV898LP,A.V_07,0xffcb5aff,{'id': 28000276},44375,195,{'name': 'LPZ'},GH
#PVGRYU89L,Let's Goooo,0xffff9727,{'id': 28000215},44352,196,{'name': 'elefant'},GH
#9YR0LLL02,Mattis,0xffa8e132,{'id': 28000499},44308,197,{'name': 'Nachbarjungs 2'},GH
#2YYVQYJP8,yasin,0xff1ba5f5,{'id': 28000125},44272,198,,GH
#LJVJYUVY,ErikVini85,0xfff9c908,{'id': 28000468},44271,199,{'name': 'limite_II'},GH
#PUQCPJU9,KingSarf,0xffa2e3fe,{'id': 28000083},44261,200,,GH
#PCCYJQ89U,|☘️Lenays🔥🍀,0xffffce89,{'id': 28000018},70437,1,{'name': 'babuin'},GN
#28LQYYYCC,『月』,0xff1ba5f5,{'id': 28000020},66739,2,{'name': '⚝ 𝐓𝐖𝐈𝐂𝐄 ⚝'},GN
#L0UPQ0QV2,Anarr1kot,0xffff8afb,{'id': 28000374},63076,3,{'name': 'TH SHtOrm'},GN
#Y22G2V9J2,[Bo0m]_M∆X™,0xfff9c908,{'id': 28000450},62628,4,{'name': '⚡Breakthrough ⚡'},GN
#PQGP2VVUY,水島家,0xffffffff,{'id': 28000602},62426,5,"{'name': ""(っ'-')=͟͟͞͞🩵""}",GN
#80LJGGYUV,OWEE|BIRD 🐦✨,0xffff9727,{'id': 28000540},62059,6,{'name': 'FC ABERRANT 🐐'},GN
#9GU209JYC,🥀BS✨SeziXx🥀,0xffffffff,{'id': 28000359},58971,7,,GN
#8RLP2PCP8,TTB|Karamba☔,0xffff8afb,{'id': 28000129},58332,8,{'name': '🖤ARZ GANG🖤'},GN
#QL89JV290,Gk|Yakovシ,0xfff05637,{'id': 28000321},56842,9,{'name': 'Gk|Masters♤'},GN
#9LGPPQPPP,gokylo YOUTUBER,0xffa2e3fe,{'id': 28000278},56102,10,{'name': 'AroZami eSports'},GN
#PLCGV2L8Y,THE GHOST,0xfff05637,{'id': 28000510},55790,11,{'name': 'Super Saiyajins'},GN
#PVUVJJQ09,⛩️RON⁰ⁿFIRE🔥🗽,0xffffce89,{'id': 28000135},54930,12,{'name': 'CLUB⁰ⁿFIRE🔥ツ'},GN
#2U8Y8URJY,001,0xff1ba5f5,{'id': 28000594},54828,13,{'name': 'German Esports⚡'},GN
#P2PQGCJYV,TiHuRa|RTA,0xffffffff,{'id': 28000500},54553,14,{'name': 'TikTok klaa_bs'},GN
#8R299R8G8,B2K|Necroツ,0xffa2e3fe,{'id': 28000112},54392,15,{'name': '👑NIGHT⚜₩@LF$💎'},GN
#2LRCRLP9V,fede yfeli,0xfff05637,{'id': 28000076},54287,16,{'name': 'LOS CHIPCHIP'},GN
#Y22Y8UP8L,Goblinfyメ,0xff1ba5f5,{'id': 28000126},53548,17,{'name': 'Moinsen Club'},GN
#R02J8822,babaika,0xffff8afb,{'id': 28000170},53483,18,{'name': 'THUG LIFE'},GN
#UPPQ0G02,виталик,0xffcb5aff,{'id': 28000060},53433,19,{'name': 'WiN|Team'},GN
#200GV2G,195а,0xffffffff,{'id': 28000121},53010,20,{'name': 'дединсайды'},GN
#YLG00GP9Q,плов_плов,0xfff05637,{'id': 28000477},52591,21,{'name': 'A Few Sigma Men'},GN
#2P2YQ22RL,『DS』LØήdoή🎋,0xffffffff,{'id': 28000614},52569,22,,GN
#YRL82L8LY,kop123,0xffff9727,{'id': 28000497},52564,23,{'name': '武|Masters🪐'},GN
#2RYJR8UQ2,How d,0xffffffff,{'id': 28000398},52515,24,{'name': 'СНЕЖНЫЕ РЕБЯТА'},GN
#LC22CCUJV,꧁乂✰𝐀ᶳ𝔲է𝒂✰乂꧂,0xffffffff,{'id': 28000152},52306,25,{'name': 'Shadow garden'},GN
#9PUQQCVCP,#SPEC OPS#,0xfff9c908,{'id': 28000211},52284,26,,GN
#PU0CPU80R,🇲🇽XxAngelxX🦂,0xffcb5aff,{'id': 28000564},52166,27,{'name': 'bye bye 🗿'},GN
#9GQJ2GQLP,🎸OPO|xander❤️,0xffffffff,{'id': 28000000},52081,28,{'name': 'OPO|E-sport'},GN
#8P008U2R2,DawidTheKing,0xff1ba5f5,{'id': 28000313},51961,29,{'name': 'Sigma legends'},GN
#QUVVQQ8QY,TTV|Ghost star,0xffffffff,{'id': 28000574},51801,30,{'name': 'der Chef'},GN
#Y92GGV2UP,Teиsaii#1👑,0xffff9727,{'id': 28000278},51708,31,,GN
#2G2C92P9J,⚔️ TSR ʂαɠҽ ⚔️,0xff1ba5f5,{'id': 28000233},51490,32,{'name': 'Freedom 🇫🇷'},GN
#8Y0UQ0RV2,ZETA | smoky,0xffffffff,{'id': 28000565},51389,33,{'name': '<c3>INFINIT</c>'},GN
#L92YYQQ,𝕋𝕙𝕖𝕂𝕚𝕟𝕘✯,0xff1ba5f5,{'id': 28000398},51362,34,{'name': 'Orelha gamer'},GN
#9PJYQP8L8,Ｉ ｌｏｖｅ ♡Diana♡,0xff1ba5f5,{'id': 28000424},50963,35,{'name': 'Mandy’s world🍭'},GN
#2CQR9UQUU,Filippo,0xffa2e3fe,{'id': 28000029},50956,36,{'name': 'GLI SCOLAPASTA'},GN
#J0VP9RQ9,ИМПЕРАТОР,0xffcb5aff,{'id': 28000191},50882,37,,GN
#8CCJYURPG,Sav4ik🌧️,0xffcb5aff,{'id': 28000566},50817,38,{'name': '<c7>GOLD</c> UA'},GN
#YQJ00YPLY,BambusRau€her,0xffa8e132,{'id': 28000197},50474,39,{'name': 'Moinsen Club'},GN
#289UQ090R,PCK본열매,0xffcb5aff,{'id': 28000367},50239,40,{'name': '나잡아봐라^^'},GN
#88CJPPL9,kavkazec allo,0xffffce89,{'id': 28000278},50214,41,{'name': 'ZeActus'},GN
#8RUYU2JL,@gabriel2,0xffff9727,{'id': 28000497},50158,42,{'name': 'Akatsuki🥷🏻'},GN
#8UG282LV8,WERNAS1,0xffa2e3fe,{'id': 28000500},49371,43,{'name': '[SK]MegaFull'},GN
#2P29YVPGJ,Dancepro,0xff4ddba2,{'id': 28000263},49336,44,{'name': 'leg|🐝'},GN
#92GYGVYGL,ŜĹÃŜĤ,0xffffffff,{'id': 28000616},49046,45,{'name': 'KnockKnock'},GN
#2LPY0J0RJ,Zjarany,0xff4ddba2,{'id': 28000039},48996,46,{'name': 'World|Players'},GN
#LVC9QGV00,♚𝑮𝒐𝒎𝒃𝒂𝒍♚,0xffcb5aff,{'id': 28000407},48747,47,{'name': 'UnrealStars'},GN
#8YYGC009,WST|Gørįlã “,0xffff8afb,{'id': 28000497},48651,48,{'name': 'Hellfire Club'},GN
#89CL9V9V2,dark souls,0xffff9727,{'id': 28000303},48472,49,{'name': 'ΛMPᄂIƬЦDΣ'},GN
#2JP02J228,ツ•Eymøşş•ꨄ︎☆♡,0xffffffff,{'id': 28000399},48440,50,{'name': 'E_SPOR-(SK)'},GN
#P9P8C2U9V,9-й бот,0xff1ba5f5,{'id': 28000411},48391,51,{'name': 'Türkiye|Espor'},GN
#9VQJRV2L8,★ɢᴏᴅʏʏ★,0xffffffff,{'id': 28000278},48369,52,{'name': 'detrix'},GN
#80LVCRJL0,DDnl ⚽,0xffcb5aff,{'id': 28000478},48009,53,{'name': 'Lezginы'},GN
#PCVVVJ80,robo tower,0xff1ba5f5,{'id': 28000196},47856,54,{'name': 'Team♡1M'},GN
#L00RQL0G8,Dark•|Sunex,0xffcb5aff,{'id': 28000566},47694,55,{'name': 'Dark Family'},GN
#LC2CQGPGY,Bastien,0xffff9727,{'id': 28000405},47440,56,{'name': 'de strijders'},GN
#Y90PCC0GV,Dark|Side,0xff1ba5f5,{'id': 28000011},47358,57,,GN
#PP2PR90RV,Roman Is,0xffff9727,{'id': 28000348},47302,58,{'name': 'Bullets'},GN
#YRCGVY92U,ℜ₳ℑ¥₳ツᴷⁱˡˡᵧₒᵤ™,0xffa8e132,{'id': 28000495},47271,59,"{'name': ""Клуб xen1z'a""}",GN
#822UV2JCC,NaVi| Gerrord🎩,0xfff9c908,{'id': 28000528},47042,60,{'name': 'EshSquad'},GN
#98YVUPQR2,🌪₮ØɌ₦₳ƉØ🌪,0xfff9c908,{'id': 28000581},46902,61,{'name': '🦬TheBuffalos🦬'},GN
#LVJRCYUUJ,Leon.,0xffff9727,{'id': 28000115},46869,62,{'name': 'Бульба brawl 2'},GN
#R0R92Y2,KönigStöckle,0xffffffff,{'id': 28000574},46688,63,{'name': 'Ravensberg'},GN
#2LJ8PU2P,Moki,0xffcb5aff,{'id': 28000354},46656,64,{'name': 'APPT'},GN
#Y0P2JQ0R2,Navi | Numfatim,0xff1ba5f5,{'id': 28000195},46540,65,{'name': 'Кошкин Дом'},GN
#99R8V0PCC,Batata Anbate,0xfff9c908,{'id': 28000608},46436,66,{'name': 'Brawl Four Br 2'},GN
#8U0R9U8Y,$1.99,0xffa8e132,{'id': 28000042},46346,67,{'name': 'La Jefacturas'},GN
#29VJU8JUP,:D,0xffffffff,{'id': 28000616},46280,68,,GN
#PY98JRR0Q,ALC|ALHEMEK,0xffffffff,{'id': 28000017},46174,69,{'name': 'ILoveMortis'},GN
#29GPP0UCV,unicornio,0xffff9727,{'id': 28000511},46174,70,{'name': 'Los inzanos👻'},GN
#9UPP0L9R,никита1230,0xffff9727,{'id': 28000380},46132,71,{'name': 'BRAWL STARS KG'},GN
#YJ8QVVRC,Shadow_10,0xffcb5aff,{'id': 28000191},45827,72,,GN
#2YJJ8JY8J,Davex,0xffffffff,{'id': 28000168},45776,73,{'name': 'Brizzaro Elite'},GN
#YPC8CYLV0,КОНДР12,0xffcb5aff,{'id': 28000219},45684,74,{'name': 'German gay'},GN
#8VU9RCUYP,Ahmet baba,0xff4ddba2,{'id': 28000504},45655,75,{'name': '🇹🇷VATAN🇹🇷'},GN
#U0CRPJYQ,fantastik_YT,0xff1ba5f5,{'id': 28000134},45642,76,{'name': 'Blue Wales 🐳'},GN
#YQRYRV29J,Ler4iktop1gg,0xffffce89,{'id': 28000156},45554,77,{'name': 'ColdMang🐣'},GN
#820J892V2,ZᴇᴜS YT,0xfff05637,{'id': 28000569},45524,78,{'name': 'Sky Angels'},GN
#PGJG8U208,Leon,0xffa8e132,{'id': 28000064},45297,79,{'name': 'TM|Детский мир'},GN
#82GC888R,™Epil 🖤,0xffcb5aff,{'id': 28000616},45261,80,{'name': 'Ice Dragon 2.0'},GN
#9RQ0Q9P8V,Navi | 领袖antonツ,0xffff9727,{'id': 28000211},45131,81,{'name': '⠒̫⃝🌹[UA]SPORT'},GN
#889PL9RLG,trol töter,0xfff9c908,{'id': 28000599},45091,82,{'name': 'Royal|Brawl'},GN
#PLPRGYV8Y,Space DM.,0xffffffff,{'id': 28000119},45050,83,{'name': 'AnkaraSiuuu'},GN
#GGPUVPY0R,Quirantesツ,0xff1ba5f5,{'id': 28000574},45002,84,{'name': 'pastisets'},GN
#9VU8JJCJC,emi😎🤙,0xfff05637,{'id': 28000123},45000,85,{'name': 'BS - Mexico'},GN
#2U28G82YL,TORETTO,0xffcb5aff,{'id': 28000410},44962,86,{'name': 'lovelystory🎈'},GN
#RYVJ00YR,ま|yokio🕷,0xffcb5aff,{'id': 28000330},44946,87,{'name': 'Blitz Team'},GN
#Y9VGLULVL,storm,0xfff9c908,{'id': 28000397},44624,88,{'name': 'братство тени'},GN
#2Y8CPL28R,митольде,0xfff05637,{'id': 28000274},44502,89,{'name': 'мировой'},GN
#RQ2VVQQUQ,⌖𝙻𝚎𝚏𝚝𝚢𝚢❦,0xffcb5aff,{'id': 28000539},44501,90,,GN
#922R2VV2P,Sosy_jopy//:,0xffffffff,{'id': 28000095},44483,91,{'name': '<c9>Sucuk</c>'},GN
#P8RL0UUUU,Xyl(i)gan,0xffffffff,{'id': 28000576},44375,92,{'name': 'с нашего района'},GN
#UGL9JC0G,꧁•Leͥgeͣnͫd•ᴳᵒᵈ,0xffcb5aff,{'id': 28000548},44209,93,{'name': 'OMGyat'},GN
#2RLRP0JY0,MC|Diego🦍,0xffffffff,{'id': 28000281},44168,94,{'name': '♐️GYM♐️'},GN
#99Y90RP2C,cん𝓇𝚒𝓈[ᴳᵒᵈ]™么,0xff1ba5f5,{'id': 28000424},44163,95,,GN
#YPU2UVYYL,Apex,0xffa2e3fe,{'id': 28000574},44135,96,{'name': 'Tryhards'},GN
#2U2V82C9,гниющий труп,0xfff9c908,{'id': 28000429},44005,97,{'name': 'Hope squad|🌆'},GN
#98GQYGCG8,Боец,0xffff8afb,{'id': 28000350},43973,98,{'name': 'OPG NasMeshkino'},GN
#99PQPJUVV,QLS|IZUMRUD,0xffffffff,{'id': 28000018},43965,99,{'name': 'DSG'},GN
#9C9G2RRLQ,🎸OPO|rx4dih,0xffffffff,{'id': 28000313},43868,100,{'name': 'OPO|E-sport'},GN
#8G9L9LRCQ,☆--(シ)--$,0xff4ddba2,{'id': 28000137},43851,101,{'name': '오옹'},GN
#88PG9JL8Q,RAID|SNAKE,0xffffffff,{'id': 28000139},43801,102,{'name': 'BMC/Gaming⛈️'},GN
#9V92CY9LR,VS | VNNY ツ,0xfff9c908,{'id': 28000221},43662,103,{'name': 'Tempest🌩️'},GN
#22LQ2RLVJ,MoonLightPRO,0xffffce89,{'id': 28000497},43490,104,{'name': '🌸SK|FLOWER™🌸'},GN
#8YQP8PPPG,lord,0xffffffff,{'id': 28000017},43450,105,{'name': 'ro🕶️past'},GN
#2G9JCLVC0,[БЛЕT]мама,0xfff9c908,{'id': 28000552},43341,106,{'name': 'КОТ'},GN
#2QYY8Q9R9,İSAᴷⁱˡˡᵧₒᵤツ,0xff4ddba2,{'id': 28000398},43321,107,{'name': 'Angel of death'},GN
#YQJ90UUY,[БЛЕТ]Копатыч,0xffffffff,{'id': 28000139},43242,108,{'name': 'гей клаб'},GN
#YJ0YJ2GPC,⛩️ManSik|KZ🇰🇿,0xffffffff,{'id': 28000095},42972,109,{'name': 'TT|xseoner👅🧊'},GN
#8Y2VCLY2Y,Adrian 14,0xffffce89,{'id': 28000557},42845,110,{'name': 'GACCI MUCHI'},GN
#2R0VUU8PR,[БЛЕТ] SPICE,0xfff9c908,{'id': 28000042},42836,111,{'name': 'KING|ICE🧊'},GN
#82R98JU8V,עידו המלך,0xff1ba5f5,{'id': 28000192},42785,112,{'name': 'עם ישראל חיי'},GN
